SentenceId,Phrase,Sentiment
1,series escapades demonstrating adage  goose  gander  occasionally amuses amounts  ,1
2,quiet  introspective entertaining independent worth seeking ,4
3,fans ismail merchant s work  suspect  hard  sting ,1
4,posively thrilling combination ethnography intrigue  betrayal  dece murder shakespearean tragedy juicy soap opera ,3
5,aggressive selfglorification manipulative whewash ,1
6,comedydrama nearly epic proportions rooted performance tle character undergoing midlife crisis ,4
7,narratively  trouble day plodding mess ,1
8,importance earnest  w plays  reading bartlett s familiar quotations,3
9,nt leave ,1
10,hate reason ,1
11,s ltle recommend snow dogs  considers cliched dialogue perverse escapism source high hilary ,1
12,kung pow oedekerk s realization childhood dream martialarts flick  proves dreams youth remain ,1
13,performances absolute joy ,4
14,fresnadillo s extravagant chance distort perspective throw path  sense ,3
15, moonlight mile  better judgment damned ,3
16,welcome relief baseball s try hard mythic  sweet modest ultimately winning  ,3
17,bilingual charmer   woman inspired,3
18, dizzily gorgeous companion mr wong s mood love  hong kong  despe mainland setting ,2
19,inept bigscreen remakes avengers wild wild west ,1
20,s d expect  ,2
21,best indie year  far ,4
22,hatfield hicks oddest couples  sense  study gambles publishing world  offering case study exists apart  s polical ramifications ,3
23,s  going house party ing host defend frothing exgirlfriend ,1
24,chuck norris  grenade gag  occurs 7 s windtalkers  indication seriousminded  ,2
25,plot romantic comedy boilerplate start finish ,2
26,arrives impeccable pedigree  mongrel pep  indecipherable plot complications ,2
27, clearly means preach exclusively converted ,2
28,importance earnest offers opportunies occasional smiles chuckles  nt reason theater wilde s w actors  performances ,1
29,latest vapid actor s exercise appropriate structure arthur schnzler s reigen ,1
30,vaudeville wellconstructed narrative  terms s inoffensive actually sweet ,2
31,runofthemill action flick ,2
32,hampered   paralyzed  selfindulgent script  aims poetry ends sounding  satire ,0
33,ice age computergenerated feature cartoon feel  s  makes glacial pacing early ,2
34,s ltle sense s going  makers serve cliches considerable dash ,2
35,cattaneo followed runa success   monty  different ,2
36,re unnamed  easily substutable forces serve terror heroes horror s try avoid ,1
37,feels  interested entertaining amusing ,1
38, s progression rambling incoherence gives new meaning phrase  fatal script error  ,0
39,nt judge soon  s dark  grty  takes totally unexpected directions keeps going ,3
40,young romantics date ,3
41,tartakovsky s team freakish powers visual charm  wrers slip modern rut narrative banaly ,0
42,vincent gallo right home french shocker playing usual bad boy weirdo role ,3
43,horror  s primary goal frighten disturb  works spectacularly  shiverinducing  nerverattling ride ,4
44,100minute  25 minutes decent material ,1
45,fortunately  option ,2
46,sensational truecrime helljaunt purists  experimental telling lrb horrifying rrb ,3
47,tricky satisfying david mamet s airless cinematic shell games ,3
48,m sure maker disagree   honestly  nt point ,1
49,jones tackled meaty subject drawn engaging characters peppering pages memorable zingers ,4
50,bloody sunday grace prevention place blame  making best war s ,4
51,takes clunky tv approach detailing chapter life celebrated irish playwright  poet drinker ,1
52,finally coming miramax s deep shelves couple aborted attempts  waking reno makes strong case letting sleeping dogs lie ,2
53,thanks largely williams  interesting developments processed 60 minutes  rest overexposed waste  ,0
54,comes relic bygone era  convolutions  feel silly plausible ,0
55,s cliche   refreshing   ,4
56,lead performances oscarsize ,4
57,run lives ,0
58,mark pellington s latest pop thriller kooky overeager spooky subtly love myth ,3
59,claude chabrol s camera  gently sing forth cradles characters  veiling tension beneath tender movements ,3
60,transforms lrb shakespeare s rrb deepest tragedies smart new comedy ,3
61,screenplay james eric  james horton director peter ofallon  pat makes teeth hurt ,1
62,arriving particularly dark moment hi  offers flickering reminders ties bind ,3
63,generic villains lack intrigue lrb funny accents rrb action scenes poorly delivered ,1
64,characters deeply thought  righting  s ,3
65,  despe gratuous cinematic distractions impressed   fun ,3
66,downright transparent script s endless assault embarrassingly hamfisted sex jokes reek script rewre designed garner   cooler  pg13 rating ,0
67,smart  provocative drama nearly impossible  gets skin man know evil  monstrous lunatic ,4
68,s  driveby ,1
69,things  stoner midnight flick  scifi deconstruction  gay fantasia  s love  sanguine tle ,3
70,funny romantic comedy sktish new york middleagers stumble relationship struggle furiously fears foibles ,3
71,ambion subjects  willingness ,1
72,lrb scherfig rrb  leave wondering characters  lives clever creds roll ,3
73,lrb rrb absorbing documentary ,3
74,reeks rot hack work start finish ,2
