SentenceId,Phrase,Sentiment
1,series escapades demonstrating adage good goose good gander  occasionally amuses amounts story ,1
2,quiet  introspective entertaining independent worth seeking ,4
3,fans ismail merchant s work  suspect  hard time sitting ,1
4,positively thrilling combination ethnography intrigue  betrayal  deceit murder shakespearean tragedy juicy soap opera ,3
5,aggressive selfglorification manipulative whitewash ,1
6,comedydrama nearly epic proportions rooted performance title character undergoing midlife crisis ,4
7,narratively  trouble day plodding mess ,1
8,importance earnest  wit plays like reading bartlett s familiar quotations,3
9,nt leave ,1
10,hate reason ,1
11,s little recommend snow dogs  considers cliched dialogue perverse escapism source high hilarity ,1
12,kung pow oedekerk s realization childhood dream martialarts flick  proves dreams youth remain ,1
13,performances absolute joy ,4
14,fresnadillo ways extravagant chance distort perspective throw path good sense ,3
15,like moonlight mile  better judgment damned ,3
16,welcome relief baseball movies try hard mythic  sweet modest ultimately winning story ,3
17,bilingual charmer  like woman inspired,3
18,like dizzily gorgeous companion mr wong s mood love  hong kong movie despite mainland setting ,2
19,inept bigscreen remakes avengers wild wild west ,1
20,s d expect  ,2
21,best indie year  far ,4
22,hatfield hicks oddest couples  sense movie study gambles publishing world  offering case study exists apart movie s political ramifications ,3
23,s like going house party watching host defend frothing exgirlfriend ,1
24,chuck norris  grenade gag  occurs 7 times windtalkers good indication seriousminded film ,2
25,plot romantic comedy boilerplate start finish ,2
26,arrives impeccable pedigree  mongrel pep  indecipherable plot complications ,2
27,film clearly means preach exclusively converted ,2
28,importance earnest offers opportunities occasional smiles chuckles  nt reason theater wilde s wit actors  performances ,1
29,latest vapid actor s exercise appropriate structure arthur schnitzler s reigen ,1
30,vaudeville wellconstructed narrative  terms s inoffensive actually sweet ,2
31,runofthemill action flick ,2
32,hampered   paralyzed  selfindulgent script  aims poetry ends sounding like satire ,0
33,ice age computergenerated feature cartoon feel like movies  makes glacial pacing early ,2
34,s little sense s going  makers serve cliches considerable dash ,2
35,cattaneo followed runaway success film  monty  different ,2
36,re unnamed  easily substitutable forces serve terror heroes horror movies try avoid ,1
37,feels movie interested entertaining amusing ,1
38,movie s progression rambling incoherence gives new meaning phrase  fatal script error  ,0
39,nt judge soon  s dark  gritty story takes totally unexpected directions keeps going ,3
40,young romantics date ,3
41,tartakovsky s team freakish powers visual charm  writers slip modern rut narrative banality ,0
42,vincent gallo right home french shocker playing usual bad boy weirdo role ,3
43,horror movie s primary goal frighten disturb  works spectacularly  shiverinducing  nerverattling ride ,4
44,100minute movie 25 minutes decent material ,1
45,fortunately  option ,2
46,sensational truecrime helljaunt purists like experimental storytelling lrb horrifying rrb ,3
47,tricky satisfying david mamet s airless cinematic shell games ,3
48,m sure filmmaker disagree   honestly  nt point ,1
49,jones tackled meaty subject drawn engaging characters peppering pages memorable zingers ,4
